id,index,station_name,type
440,42166,Bikaner,SURFACE
441,42710,Suri,SURFACE
442,42810,Basirhat (E. M.O.),SURFACE
443,42806,Haldia,SURFACE
444,42184,Seismo Ridge,SURFACE
445,7202,Delhi University,SURFACE
446,42180,Ayanagar,SURFACE
447,43334,Androth,SURFACE
448,43337,Kavaratti,SURFACE
449,42726,Lengpui,SURFACE
450,43184,Nidadavole,SURFACE
451,42375,SULTANPUR,SURFACE
452,43200,Dharwad,SURFACE
453,43227,Haveri,SURFACE
454,43228,Koppal,SURFACE
455,43316,Nilambur,SURFACE
456,43067,Pashan,SURFACE
457,42282,Nautanwa Bazar,SURFACE
458,42477,Jaunpur,SURFACE
459,42366,Kanpur,SURFACE
460,42372,Fursatganj,SURFACE
461,42472,Pratapgarh,SURFACE
462,42589,Churk,SURFACE
463,42377,Sultanpur,SURFACE
464,42365,Unnao,SURFACE
465,42261,Agra,SURFACE
466,42191,Badaun,SURFACE
467,42183,Bulandshahar,SURFACE
468,42364,Etawah,SURFACE
469,9206,Penamic,SURFACE
470,9218,Poonch,SURFACE
471,42112,Mussoorie,SURFACE
472,42140,Roorkee,SURFACE
473,42146,Nainital,SURFACE
474,42110,Pauri,SURFACE
475,42149,Askote,SURFACE
476,42151,Dharchula,SURFACE
477,33,Garbhyang,SURFACE
478,42308,Itanagar,SURFACE
479,42302,Tawang,SURFACE
480,42866,Nagpur(City),SURFACE
481,43005,T.B.I.A.,SURFACE
482,42846,Nandurbar,SURFACE
483,13210,Arvi,SURFACE
484,43069,Baramati,SURFACE
485,42484,Ballia(Mirdha),SURFACE
486,42370,Barabanki,SURFACE
487,42279,Basti,SURFACE
488,42374,Faizabad,SURFACE
489,42471,Fatehpur,SURFACE
490,42274,Gonda,SURFACE
491,42354,Dholpur,SURFACE
492,42652,Dungarpur,SURFACE
493,42345,MC Jaipur,SURFACE
494,42555,Jhalawar,SURFACE
495,43160,Bagalkot,SURFACE
496,43153,Devgad,SURFACE
497,42265,Mainpuri,SURFACE
498,42257,Mathura,SURFACE
499,42138,Muzaffarnagar,SURFACE
500,42190,Pilibhit,SURFACE
501,42188,Rampur,SURFACE
502,42267,Fatehgarh (Farrukhabad),SURFACE
503,42669,Vidisha,SURFACE
504,42570,Panna,SURFACE
505,42317,Tiinsukia,SURFACE
506,42487,Arrah,SURFACE
507,42321,Tezu,SURFACE
508,28,Khalatse,SURFACE
509,42270,Lakhimpur Kheri,SURFACE
510,43212,Nandyal,SURFACE
511,42966,Phulbani,SURFACE
512,43091,Malkangiri,SURFACE
513,42881,Hirakud,SURFACE
514,42100,PAU Ludhiana,SURFACE
515,10207,Ajmer (irrigation),SURFACE
516,42255,Alwar,SURFACE
517,42655,Banswara,SURFACE
518,42242,Nagaur,SURFACE
519,42122,Anupgarh,SURFACE
520,43319,Coimbatore Town.,SURFACE
521,43207,Parangipettai,SURFACE
522,15217,Kamachipuram.,SURFACE
523,43338,Erode.,SURFACE
